 ,Area,Mean,Min,Max
266,13,106.000,106,106
267,6,105.667,105,106
268,3,105.667,105,106
269,15,102.533,99,106
270,7,104.857,104,106
271,4,106.000,106,106
272,3,103.000,102,105
273,7,105.571,105,106
274,3,106.000,106,106
275,8,105.625,105,106
276,7,105.000,104,106
277,4,106.000,106,106
278,6,105.500,105,106
279,10,103.900,102,106
280,3,105.667,105,106
281,5,105.400,105,106
282,5,106.000,106,106
283,3,104.333,104,105
284,7,105.429,105,106
